MAINPREDIR,MAINPRETYPE,MAINNAME,MAINSUFDIR,MAINSUFTYPE,MAINFULNAME,ALS1PREDIR,ALS1PRETYPE,ALS1NAME,ALS1SUFDIR,ALS1SUFTYPE,ALS1FULNAME,ALS2PREDIR,ALS2PRETYPE,ALS2NAME,ALS2SUFDIR,ALS2SUFTYPE,ALS2FULNAME,ALS3PREDIR,ALS3PRETYPE,ALS3NAME,ALS3SUFDIR,ALS3SUFTYPE,ALS3FULNAME,OWNERSHIP,MAINTAINEDBY,FIPSCODE,NUMBLANES,FUNCTIONCODE,SURFACE,SURFACETYPE,ONEWAY,ONEWAYDIR,PAVSEGID,STATUS,COMMENTS,NOTES,ADDRNG_L_F,ADDRNG_L_T,ADDRNG_R_F,ADDRNG_R_T,CITY_L,CITY_R,COUNTY_L,COUNTY_R,STATE_L,STATE_R,ZIP_L,ZIP_R,COUNTRYCODE,BLOCKID_L,BLOCKID_R,CREATED_DATE,LAST_UPDATED,LAST_EDITOR,CURVE,ROAD_NUMB,CARTO_SYMB,ROW_WIDTH,PAVE_WIDTH,Enabled,GlobalID,created_user,last_edited_user,last_edited_date,Shape_Length
S,,CALIFORNIA,,ST,S CALIFORNIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,400,450,401,449,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0C9AEAC4-C648-4D59-95C7-B14533AE7A6C},,,,624.093572691645022
,,FIRST NORTH,,ST,FIRST NORTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0C9E571E-F0DC-46C6-9DFD-FDA279CF4632},,,,369.996421358283442
,,MARRIOTT,,WAY,MARRIOTT WAY,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,5,2,3,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 16:41,TSPROULE,,,LOCAL,,,1,{0D8E895B-BB0C-4CFD-9086-E1DD28D910AB},,,,961.985883309925384
,,EUREKA,,ST,EUREKA ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,420,427,,,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0D918C1E-2AAA-42FF-B33F-32801A5FAD7A},,,,670.080393203199151
,,RATTLER,,WAY,RATTLER WAY,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,87,95,88,96,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0E1DF71F-D592-43DE-AA2F-5ED994A9F66D},,,,468.819486280313356
,,ACCIARI,,RD,ACCIARI RD,,,,,,,,,,,,,,,,,,,,NM,,,M,,,0,,,,,,2,48,1,49,SV,SV,LYN,LYN,NV,NV,89430,89430,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0E1FB149-35AF-4406-936F-6FB11F5772EA},,,,3910.237673537882984
,,ORCHARD,,ST,ORCHARD ST,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,99,2,98,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0E2C0AEF-B44B-4691-95FD-52B2040C806C},,,,323.624005735094329
,,RIVER,,AVE,RIVER AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,701,709,700,712,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0E87AEBE-611E-4ED8-8782-555473C9B49B},,,,429.998629656318826
,,PETE HENRICHS,,RD,PETE HENRICHS RD,,,,,,,,,,,,,,,,,,,,,,,,,CS,0,,,,,,400,458,401,459,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0EF434C7-318C-4ACF-86D3-E0217214938B},,,,1839.045484447187619
,,ALEXIS,,RD,ALEXIS RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,28,30,33,35,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 15:59,TSPROULE,,,LOCAL,,,1,{0F51C874-698D-40A7-83F1-A40DA996DC5B},,,,2654.084709471827409
